dj	dj || 0
class	assort,categorise,categorize,classify,count,group,number,refer,separate,size,sort,sort out || 0
classify	class,count,group,number,refer,size,sort || 0.550671035883
claver	chat,visit || -0.550671035883
claw	assail,assault,attack,clutch,lash out,make,prehend,round,scrape,scratch,scratch up,seize,snipe,work || -0.329679953964
clean	dust,pick,steam,sweep || 0.864664716763
clean up	make || 0.0
clear	acquire,acquit,allow,alter,approve,assoil,authorise,authorize,bear,benefit^,brighten,bring home the bacon,bring in,change,clarify,clear up,come through,countenance,create,crystalise,crystalize,crystallise,crystallize,declare,deliver the goods,determine,disappear,discharge,disembarrass,earn,elucidate,empty,enlighten,exculpate,exonerate,free,gain,get,go away,gross,illuminate,judge,label,let,light up,make,modify,move out,net,overhaul,overtake,pass,pay,permit,profit,pronounce,pull in,realise,realize,remove,rid,sack,sack up,sell,settle,shed light on,solve,sort out,square off,square up,straighten out,succeed,take,take away,take in,take out,top,unclutter,validate,vanish,win,withdraw,yield || 0.959237796022
clear up	clear,enlarge,expand,mop up || 0.0
cleave	cling,split,stick || -0.329679953964
clew	clue || 0
click	articulate,chatter,clack,cluck,come home,dawn,emit,enounce,enunciate,fall into place,flick,get across,get through,go,let loose,let out,move,penetrate,pronounce,say,sink in,snap,sound,sound out,tick,utter || 0.0
climax	crown,culminate,top || 0
climb	advance,arise,bull,climb up,come along,come on,come up,gain,get along,get on,go up,grow,incline,increase,jump,lift,mount,move,move up,pitch,progress,ride,rise,scale,scramble,shape up,slope,soar,struggle,uprise,wax || 0.909282046711
climb on	mount || 0.0
climb up	climb,jump,mount,ride,rise,scale || 0.0
cling	adhere,adjoin,cleave,cohere,contact,grasp,hang,hold on,meet,stick,touch || -0.329679953964
clip	crop,lop,poll,top,trim || 0.550671035883
clobber	batter,lick || -0.329679953964
clock	time || 0.329679953964
clog	block,stuff || 0.172932943353
clog up	block,stuff || 0.0
close	approach,bang,bar,barricade,block,block off,block up,blockade,bring together,cease,change state,close down,close up,come on,come together,complete,conclude,draw,draw come near,draw near,end,engage,fill,fill up,finish,fold,go up,join,move,near,prosecute,pursue,seal,secure,shut,shut down,snap,stop,terminate,trade,turn,withdraw || 0.329679953964
close down	close,withdraw || 0.0
close in	bank,bury,case,hedge || 0.0
close up	block,close,stifle,stop,suffocate,withdraw || 0.0
clothe	cover,invest || 0
cloud	overshadow* || -0.399051741003
clout	strike || -0.329679953964
club	assemble,bludgeon,foregather,forgather,gather,hit,meet,unify,unite^ || 0
cluck	click || 0
clue	clew,roll,twine,wind,wrap || 0
clump	bunch,bundle,flock,huddle || 0.329679953964
cluster	bunch,bundle,flock,huddle || 0.329679953964
clutch	arrest,catch,claw,get,grab,grip,nab,snap || -0.518798830058
coach	train || 0
coalesce	combine,gauge,mix || 0.0
coat	copper,finish,galvanise,galvanize,metal,paint,pave,seal,size,zinc || 0
coax	bully,swagger || 0.550671035883
cock	swagger || 0.550671035883
cod	rally,ride || 0
coerce	drive,force,pressure,squeeze || 0.0
coggle	wobble || -0.698805788088
cogitate	associate,center,conclude,contemplate,devote,focus,give,link,pay,plan,reason,reflect,relate,speculate,think || 0
cognise	know,realize,recognize || 0.329679953964
cognize	know,realize,recognize || 0.329679953964
cohere	cling,stick || 0.399051741003
coif	arrange,do,set,wave || 0
coiffe	arrange,do,set,wave || 0
coiffure	arrange,do,set,wave || 0
coil	spiral || 0.698805788088
coin	create from raw material,create from raw stuff,create verbally,mint,strike || 0.329679953964
cold-shoulder	slight || 0
coldcock	dump || -0.550671035883
collapse*	break,break down,break up,burst,cave in,change,change integrity,crack,crack up,crock up,crumble,crumple,fall in,fold,fold up,founder,get,give,give way,have,pop,sink,slump,suffer,sustain,tumble,turn up,weaken || 0.0
collar	arrest,nab || 0.329679953964
collect	accumulate,acquire,amass,archive,call for,catch,compile,fund,garner,gather,gather up,get,hive away,hoard,lay in,mobilise,mobilize,muster,pick,pick up,pile up,pull in,pull together,put in,raise,rally,roll up,run up,salt away,shock,stack away,stash away,store,take,take in || 0
collide	clash,crash,shock,smash || -0.550671035883
collide with	bang,bottom,bump,clash,hit,knock,strike || 0.0
colligate	associate,link,mean,relate,remember || 0.550671035883
collude	conspire || -0.329679953964
colly	spot || -0.550671035883
color	blue,bronze,green,silver,streak,tone,touch,turn || 0.329679953964
color in	silver,streak,tone,touch || 0.0
colorise	silver,streak,tone,touch || 0
colorize	silver,streak,tone,touch || 0
colour	blue,bronze,green,silver,streak,tone,touch,turn || 0.329679953964
colour in	silver,streak,tone,touch || 0.0
colourise	silver,streak,tone,touch || 0
colourize	silver,streak,tone,touch || 0
com constrict	press || 0.0
com kick	plain || 0.0
com unify	mix || 0.0
combat	battle,contend,fight,struggle || 0
combine	add,aggregate,amalgamate,blend,change integrity,chip in,coalesce,commingle,commix,compound,conflate,contribute,feature,flux,fuse,gauge,give,have,immix,interact,kick in,meld,merge,mingle,mix,unify,unite^ || 0.30309401557
combust	catch,ignite,light || -0.402509973161
come	add up,address,amount,approach,arise,arrive,average,be,be turn,bedo,change,come about,come in,come up,derive,descend,develop,do,ensue,exist,experience,extend,fall,fall out,fare,follow,get,get along,go,go on,go through,grow,hail,hap,happen,hit,issue forth,land,lead,locomote,make,make out,move,number,occur,originate,pass,pass off,proceed,rank,reach,result,rise,run,see,settle,shore,spring up,take place,total,travel,undergo,uprise || 0.555140785662
come about	anticipate,arise,break,chance,come,develop,fall,give,go,happen,intervene,occur,operate,pass,proceed,repeat,strike || 0.0
come across	meet,see,strike || 0.0
come after	enter,follow,replace,supersede,supplant || 0.0
come alive	wake || 0.0
come along	advance,appear,climb,occur,progress || 0.0
come apart	break,break up,bust,run,smash,snap,split || 0.0
come back	bounce,home,recall,repay,resurrect,retrace,return,rise || 0.0
come by	hit || 0.0
come close	approach || 0.0
come come	near || 0.0
come down	contract,correct,crash,decline*,dive,drop,fall,get,light,plunge,precipitate,reduce,set,settle,sink,slump,snow,take,tumble || 0.0
come forth	break,emerge,fall,issue || 0.0
come home	click || 0.0
come in	board,come,enter,inject,place || 0.0
come near	approach,push || 0.0
come off	chip || 0.0
come on	advance,approach,climb,close,near,progress,push || 0.0
come out	appear,emerge,fall,issue,place,pop,start || 0.0
come out of the closet	out || 0.0
come through	achieve,act,arrive,clear,hit,manage,pass,peg,reach,run,survive,win,work || 0.0
come to	affect,center,concern,hit,hold,interest,involve,refer,regard,relate,revive,strike,touch || 0.0
come together	close || 0.0
come unwrap	out || 0.0
come up	address,approach,arise,ascend,climb,come,emerge,find,lift,mount,muster,near,open,rally,rise,skyrocket,soar,steam,surge^,swell,well || 0.0
come up to	address,approach,recognize || 0.0
come upon	strike || 0.0
come with	rule || 0.0
comfort	calm,ease,quiet,relieve,still || -0.172932943353
command	burden,charge,compel,control,deal,dominate,forbid,general,handle,head,hold,manage,overlook,overshadow*,point,rein,rule || -0.232935262696
commemorate	mark,record,remember || -0.232935262696
commence	begin,commence,embark,embark on,enter,fall,get,get down,introduce,jump-start,launch,lead off,open,plunge,set about,set out,start,start out,start up || 0.172932943353
commend	recommend,remember || 0.698805788088
comment	annotate,criticise*,criticize,dj,explain,explicate,gloss,interpret,knock,mention,note,notice,observe,point out,rede,remark || 0
commercialise	market || 0
commercialize	market || 0
commingle	combine,gauge,mix || 0.0
comminute	crunch,grind || -0.329679953964
commit	act,apply,charge,confide,consecrate,dedicate,devote,drop,employ,entrust,expend,fund,give,hand,institutionalise,institutionalize,intrust,invest,job,make,move,pass,pass on,perpetrate,place,pull,put,reach,send,speculate,spend,transfer,trust,turn over,use,utilise,utilize || 0.518798830058
commix	combine,compound,concoct || 0
commove	beat,bother,charge,rouse,scramble,toss || 0.864664716763
communicate	acknowledge,address,ask,carry,deliver,get,give,inflict,issue,joke,network,pass,pay,project,reach,request,return,reveal,riddle,share,show,sign,signal,speak,talk,throw,transmit,visit,write || 0.550671035883
commute	break,capitalize,convert,exchange,represent,utilize || 0.329679953964
compact	bundle,contract,pack,press,squeeze || 0.232935262696
companion	company || 0
company	ac keep consort,affiliate,associate,assort,companion || 0
compare	analyse,analyze,be,canvas,canvass,consider,equate,examine,go,inflect,liken,study || -0.550671035883
compass	dig,digest,figure,tumble || 0
compel	burden,cause,charge,command,enjoin,forbid,force,get,have,implement,induce,make,obligate,oblige,order,pressure,require,say,squeeze,stimulate,tell,thrust || 0
compensate	alter,balance,carry,change,correct,counterbalance,cover,equilibrate,equilibrise,equilibrize,even off,even out,even up,give,indemnify,make up,modify,over counterbalance,pay,pay off,recompense,recoup,redress,remunerate,repair,right,settle || 0.589010616667
compete	contend,equal,match,play,race,rival,run,touch,vie || 0
compile	accumulate,amass,catch,collect,compose,fund,hive away,hoard,lay in,make,pile up,put in,roll up,run up,salt away,stack away,stash away,store || 0.399051741003
complain	beef,crab,kick,report || -0.698805788088
complete	accomplish,action,carry out,carry through,close,discharge,dispatch,end,execute,fill,fill in,fill out,fill up,finish,fulfil,fulfill,implement,make full,make out,mop up,nail,play,terminate,top || 0.655166408425
complicate*	alter,change,develop,elaborate,involve,modify,perplex,rarify,refine || 0.0
complot	conspire || 0
comply	follow || 0
comport	assert,bear,behave,carry,conduct,deal,pose || 0.518798830058
compose	adopt,arrange,be,calm,calm down,cite,compile,comprise,constitute,create,create verbally,draw,draw up,frame,indite,instrument,lull,make,make up,outline,pen,plan,profile,quiet,quieten,represent,set,still,tranquilize,tranquillise,tranquillize,verse,write || 0.719428347016
compound	account,add,amalgamate,amplify,assemble,calculate,combine,commix,deepen,enhance,heighten,increase,intensify,mingle,mix,piece,put together,raise,set up,tack,tack together,unify || 0.698805788088
comprehend	catch,cover,dig,digest,dream,embrace,encompass,feel,figure,find,hear,hurt,listen,perceive,receive,see,sense,suffer,taste,touch,tumble || 0.0
compress	contract,pack,squeeze || 0
comprise	be,compose,consist,constitute,contain,form,include,incorporate,make,make up,pose,present,range,represent,supplement || 0.399051741003
compute	add,average,budget,calculate,capitalize,divide,estimate,factor,figure,fraction,gauge,guess,process,survey || 0
con	short || -0.329679953964
con face	front || 0.0
con yield	cede || 0.0
conceal	block,bury,cover,hide,shield || 0.329679953964
concede	grant,yield || 0.329679953964
conceive	believe,consider,feel,find,hold,regard,rethink,see,think,view || 0.172932943353
conceive of	dream,figure,foresee,image,picture,project,see,think || 0.0
concenter	focus || 0
concentrate	center,contract,digest,focus,hear,listen,plunge,recall,reduce,steep,think || -0.798103482005
concentrate on	center || 0.0
concentre	focus || 0
conceptualise	find || 0.329679953964
conceptualize	find || 0.329679953964
concern	affect,bear on,center,come to,hold,interest,involve,occupy,pertain,refer,regard,relate,touch,touch on,worry || 0
concert	contrive,design,determine,plan,project,settle,square off,square up || 0
conciliate	settle || 0.60618803114
conclude	agree,cease,cerebrate,close,cogitate,concord,concur,determine,end,feel,find,finish,gather,hold,induce,reason,reason out,resolve,settle,stop,terminate,think || -0.329679953964
concoct	amalgamate,commix,cook,cook up,create by mental act,create mentally,dream up,fabricate,fix,hatch,invent,make,make up,manufacture,mingle,mix,prepare,ready,think of,think up,trump up,unify || 0.719428347016
conconnect	join || 0.0
concord	agree,arrange,conclude,go,grant,hold,settle,subscribe,support,yield || 0
concur	agree,arrange,conclude,grant,hold,settle,subscribe,support,yield || 0
condemn	doom || -0.172932943353
condense	contract,digest || -0.329679953964
condition	ameliorate,amend,better,check,contract,develop,discipline,improve,instruct,learn,make grow,meliorate,provide,qualify,shampoo,specify,stipulate,teach,train,undertake || 0.0
condone	excuse,forgive || 0.329679953964
conduce	contribute,lead || 0
conduct	acquit,act,assert,beacon,bear,behave,bring,care,carry,carry on,channel,comport,convey,deal,deport,direct,do,execute,guide,hand,handle,hold,lead,manage,move,perform,pose,show,take,transmit,usher || 0.518798830058
confab	chat,visit || -0.550671035883
confabulate	chat,visit || -0.550671035883
confederate	band together,unify,unite^ || 0
confer	bless || 0
confide	charge,commit,relieve || 0
confine	bear,bind,bound,cap,carry,check,circumscribe,contain,content,control,curb,decrease,detain,disable,disenable,enclose,ground,hamper,hold,hold back,hold in,incapacitate,keep,keep back,lag,lessen,limit,minify,moderate,number,pound,ration,reduce,rein,restrain,restrict,rule,stiffen,suppress,throttle,tie,trammel,trap || 0
confirm	affirm,approve,back,beef up,corroborate,covenant,establish,fortify,justify,maintain,o.k.,okay,prove,reassert,sanction,show,strengthen,substantiate,support,sustain,validate || 0.550671035883
conflagrate	catch,ignite || 0
conflate	combine,gauge,mix || 0.0
conflict	clash || 0
conform	adjust,focus,match,readjust,square || -0.550671035883
conform to	coordinate,follow,meet,suit || 0.0
confound	beat,get,pose,stick,throw || 0
confront	face,match,oppose,present || -0.172932943353
confuse	beat,bother,get,pose,stick,throw || -0.172932943353
congeal	set || 0
congest	block,stuff || 0.399051741003
conglomerate	accumulate,amass,backlog,drift,gather || 0.329679953964
conjecture	develop,retrace,speculate || 0
conjoin	couple,pair,wed || 0.329679953964
conjure	bid,bless,conspire,press,raise,stir || 0.0
conjure up	bless,raise,stir || 0.0
conk	die,fall,go,pass,stall,starve,stifle,succumb,suffocate,swoon,yield || -0.399051741003
conk out	blow,break,crash,die,fail,go || 0.0
connect	associate,ground,join,link,mean,relate,remember,tie,unite^ || 0.939189937375
connive	scheme || 0
connote	imply || 0.550671035883
conquer	blink,carry,curb,dampen,stifle,still,subdue || -0.698805788088
consecrate	bless,commit,devote,give,order || 0.399051741003
consent	accept,agree,allow,give,let,settle,succumb,yield || 0
conserve	husband,maintain,preserve || 0.232935262696
consider	analyse,analyze,appreciate,believe,call,canvas,canvass,capitalize,chew over,compare,conceive,contemplate,count,deal,debate,deem,deliberate,discuss,evaluate,examine,excogitate,expect,favor,feel,hash out,hold,include,judge,like,liken,look,look at,make,meditate,moot,mull,mull over,muse,pass judgment,play,ponder,prize,receive,reckon,reconsider,reflect,regard,respect,rethink,ruminate,see,speculate,study,take,talk over,think,think about,think over,turn over,value,view,weigh || 0.402509973161
consign	charge,pledge,soak || 0
consist	agree,be,belong,check,comprise,correspond,dwell,exist,fit,gibe,jibe,lie,lie in,match,tally || 0.550671035883
consociate	associate || 0
console	calm,ease,quiet,relieve,still || 0.232935262696
consolidate	merge,solidify,strengthen,unify,unite^ || 0.798103482005
consort	agree,ally,associate,date,go,run,see || -0.329679953964
conspire	cabal,collude,complot,conjure,interact,machinate,plot || -0.329679953964
constellate	bunch,flock,huddle || 0
constipate	bind || 0
constitute	add,be,compose,comprise,establish,fix,form,found,make,name,pack,pose,present,range,represent,supplement || 0.798103482005
constrain	curb,restrain,stiffen || 0.329679953964
constrict	contract,narrow,squeeze || 0
constringe	narrow || 0
construct	build,make,manufacture,raft,raise,retrace || -0.550671035883
construe	read,see,take || 0
consult	refer || 0.329679953964
consume	deplete,down,drain,eat,feed,have,hit,sap,shoot,spend,take,taste,touch,try,use,waste || -0.324225425851
contact	butt,cling,cover,edge,hug,march,meet,raise,reach,stick,surround,touch || 0
contain	arrest,be,bear,bound,carry,catch,check,comprise,confine,control,counteract,curb,damp,defend,hold,hold back,hold in,include,incorporate,keep,keep back,limit,moderate,restrain,restrict,retain,ring,round,stop,subdue,suppress,surround,take,train,turn back || 0.518798830058
contaminate	infect || 0
contemn	scorn || -0.698805788088
contemplate	cerebrate,chew over,cogitate,consider,deal,excogitate,look at,meditate,mull,mull over,muse,ponder,question,reflect,ruminate,speculate,study,take,think,think over,view,wonder || 0.0
contend	argue,battle,challenge,combat,compete,cope,cut,deal,debate,defend,equal,fight,joust,manage,match,meet,oppose,play,race,rival,run,scrap,settle,struggle,touch,tug,tussle,war || 0.329679953964
content	circumscribe,confine,gratify,limit,satisfy || 0.698805788088
contest	challenge || 0
continue	act,be,bear on,carry,carry on,cover,cross,endure,extend,go,go along,go forward,go on,head,hold,keep,keep going,keep on,keep up,limp,locomote,maintain,move,persist,persist in,preserve,prevail,proceed,prolong,remain,resume,retain,ride,run,span,speak,spread,stand,stay,stay on,sustain,sweep,talk,travel,uphold || -0.172932943353
contract	abbreviate,abridge,alter,assure,catch,change,come down,compact,compress,concentrate,condense,condition,constrict,cut,decrease,digest,diminish,employ,engage,fall,foreshorten,get,hire,lessen,minify,modify,narrow,press,promise,reduce,shorten,shrink,sicken,sign,sign on,sign up,squeeze,take,tighten,undertake || 0.0
contradict	belie,contravene,controvert,demonstrate,depart,deviate,differ,disagree,dissent,diverge,establish,negate,negative,oppose,prove,rebut,refute,resist,shew,show,take issue,vary || -0.798103482005
contrast	oppose || 0.0
contravene	contradict || 0
contribute	add,advance,alter,bestow,boost,bring,change,chip in,combine,conduce,encourage,further,give,impart,kick in,lead,lend,modify,pay,promote^,put up || 0.698805788088
contrive	concert,forge,plan,project,shoot,throw || 0.550671035883
control	ascertain,assure,bound,card,catch,check,command,confine,contain,counteract,cover,curb,damp,deal,dominate,drive,ensure,essay,examine,handle,head,hold,hold back,hold in,insure,interact,keep,keep back,keep in line,know,limit,manage,manipulate,master,moderate,operate,point,prove,restrain,restrict,rule,see,see to it,subdue,suppress,test,train,try,try out,turn,verify || 0.330590084317
controvert	contradict,negative,oppose,resist || -0.798103482005
contuse	bruise || -0.329679953964
convalesce	perk,recover^ || 0.329679953964
convene	sit || 0
converge	meet || 0.329679953964
converse	argue,chat,debate,interview,question,visit || 0
convert	alter,break,capitalize,change,change over,commute,convince,exchange,float,hit,modify,persuade,rack up,receive,reclaim,replace,score,scrap,tally,transition,utilize,win over,work || 0.60618803114
convey	bring,carry,conduct,deliver,fetch,get,hint,land,look,mean,measure,pass,return,say,show,suggest,take,thank,transmit,tube || 0.329679953964
convince	convert || 0
convulse	slash,toss || 0.329679953964
cook	brown,concoct,fake,fix,keep,make,manipulate,preserve,ready,steam || -0.550671035883
cook up	concoct,manufacture,spin || 0.0
cool it	calm || 0.0
cool off	calm || 0.0
coordinate	adjust,align,arrange,care,conform to,correct,deal,fit,handle,manage,meet,ordinate,organise,organize,set,set up || 0
cop	arrest,nab || 0.329679953964
cope	act,contend,cut,deal,get by,grapple,make do,make out,manage,match,meet,move || 0.329679953964
cope with	match,meet || 0.0
copper	coat,surface || 0
copulate	bang,couple,cover,know,love,mount,pair,ride,ruin*,serve,service,tread || 0
copy	follow,pattern || -0.329679953964
coquet	flirt || 0.550671035883
coquette	flirt || 0.550671035883
core out	dig,hole,hollow,rout,undermine* || 0.0
corkscrew	spiral || 0
coronate	crown || 0
correct	adjust,alter,balance,bawl out,berate,calibrate,call down,call on the carpet,care for,carry,castigate,change,change by reversal,chasten,chastise,chew out,chew up,chide,come down,compensate,coordinate,counterbalance,cover,decline*,descend,discipline,dress down,equilibrate,equilibrise,equilibrize,even off,even out,even up,fall,focus,go down,have words,jaw,justify,lambast,lambaste,lecture,make up,match,modify,objurgate,penalise,penalize*,plumb,proportion,punish,rag,readjust,rebuke,rectify,redress,remedy,remonstrate,reprimand,reproof,reverse,right,scold,set,slump,sort out,take to task,temper,time,treat,trim,trounce,turn,zero || 0.991770252951
correspond	agree,answer,be,check,consist,equal,equate,fit,gibe,jibe,look,match,meet,pattern,represent,square,stand for,suit,support,tally,underpin,write || 0
corroborate	back,confirm,establish,prove,show,support,sustain,underpin,validate || 0.329679953964
corrode	eat || -0.329679953964
corrupt	bribe,buy,debase,dilute,infect,stretch || -0.399051741003
cost	ask,be,call for,demand,involve,necessitate,need,postulate,require,take || 0
cotton on	tumble || 0.0
couch	put || 0.329679953964
cough	cough out,cough up,expectorate,spit out,spit up || -0.329679953964
cough out	cough || 0.0
cough up	cough || 0.0
counsel	press,tip,warn || -0.329679953964
count	add,approximate,ascertain,assort,bank,be,bet,calculate,class,classify,consider,depend,determine,enumerate,estimate,find,find out,gauge,guess,include,judge,look,matter,number,numerate,press,recite,reckon,rely,separate,sort,sort out,sum,swear,total,trust,weigh || 0.329679953964
count on	allow,calculate,estimate,figure,forecast || 0.0
countenance	allow,authorise,bear,clear,digest,endure,favor,give,include,let,pass,stand,suffer,support,trust || 0
counter	act,answer,anticipate,foresee,forestall,move,reply,respond || 0
counteract	act,antagonise,antagonize,cancel,check,contain,control,counterbalance,countercheck,countermine,countervail,curb,disobey,hold,hold in,moderate,move,neutralize,offset,sabotage,set off,subvert,undermine*,weaken || -0.329679953964
counterbalance	carry,compensate,correct,counteract,cover,oppose || 0.518798830058
countercheck	counteract || 0
counterfeit	fake,forge,re-create || 0.329679953964
countermand	lift,reverse || 0
countermine	counteract,undermine*,weaken || 0
counterpoint	oppose || -0.232935262696
countersink	set || 0
countervail	counteract,offset || -0.329679953964
couple	attach,bang,bring together,conjoin,copulate,couple on,couple up,cover,join,know,love,match,mate,mount,pair,pair off,partner off,ride,ruin*,serve,service,tread,twin,unify,unite^ || 0.399051741003
couple on	couple || 0.0
couple up	couple || 0.0
course	circulate,cover,cross,cut across,cut through,drain,feed,flow,get across,get over,hunt,hunt down,move,pass over,pour,run,surge^,track,track down,traverse,waste || 0
court	chase,woo || 0
covenant	confirm || 0
cover	address,adjoin,apparel,ascertain,assure,bank,be,bind,breed,broach,brood,check,clothe,compensate,comprehend,conceal,contact,continue,control,copulate,correct,counterbalance,couple,course,cover up,cross,crown,cut across,cut through,deal,deputise,deputize,discuss,dress,drive,dust,embrace,empower^,enclose,enclothe,encompass,endow,endue,enfold,enshroud,ensure,envelop,enwrap,even off,even out,even up,extend,face,fit out,flood,fulfil,fulfill,garb,garment,get across,get over,gift,go across,go through,guarantee,habilitate,handle,hatch,hide,hold,include,incubate,indue,inform,initiate,insure,invest,lag,line,live up to,make up,mate,meet,multiply,oil,overcompensate,overlay,paint,pair,paper,pass,pass over,paste,play,plow,procreate,protect,raiment,recover^,report,reproduce,satisfy,see,see to it,sheet,shroud,span,spread,spread over,steel,step in,substitute,surround,sweep,take,tog,touch,track,traverse,treat,underwrite,warrant,wax,wrap,wrap up || 0.0587580132266
cover up	cover || 0.0
cower	crawl,creep,huddle || 0.0
cozen	hoax,sell || -0.698805788088
crab	beef,bellyache,channelise,channelize,complain,direct,fish,gripe,grouse,guide,head,holler,kick,kvetch,maneuver,manoeuver,manoeuvre,plain,point,quetch,scamper,scurry,scuttle,skitter,sound off,squawk,steer || 0
crack	break,break up,collapse*,snap || 0
crack up	break up,collapse* || 0.0
crackle	crunch || 0.329679953964
cramp	hamper || 0.172932943353
cranch	crunch,grind || 0
crap	make || -0.698805788088
crash	barge in,bed down,break,break apart,break down,break up,bunk down,cast,change,clash,collide,come down,conk out,dash,descend,die,disintegrate,ditch,doss,doss down,fail,fall,gate-intrude,give out,give way,go,go across,go bad,go down,go through,hurl,hurtle,irrupt,lodge in,move,occupy,pass,ram,reside || -0.402509973161
crash land	ditch || 0.0
craunch	crunch,grind || 0
crave	starve || 0.329679953964
crawfish	retreat,withdraw || -0.329679953964
crawfish out	retreat,withdraw || 0.0
crawl	bend,cower,creep,cringe,fawn,feel,flex,go,grovel,locomote,move,pullulate,swarm,swim,teem,travel || -0.550671035883
cream	lick || -0.329679953964
crease	shave || 0.550671035883
create	act,appoint,bear,beat,bring,build,cause,charge,clear,compose,create,cut,develop,do,draw,establish,father,form,generate,get,give,grind,initiate,kindle,machine,make,move,offset,originate,output,paint,play,press,print,produce,provoke,publish,pulse,raise,realize,return,short,short-circuit,start,stir,strike,tack,track,work,wreak,write,yield || 0.698805788088
create by mental act	concoct,develop,draw,forge,make,plan,program,project,write || 0.0
create from raw material	coin,dip,fix,forge,form,make,ready,spin,strike,work || 0.0
create from raw stuff	coin,dip,fix,forge,form,make,ready,spin,strike,work || 0.0
create mentally	concoct,develop,draw,forge,make,plan,program,project,write || 0.0
create verbally	coin,compose,publish,write || 0.0
credit	ac impute,account,ascribe,assign,attribute,bank,believe,calculate,finance,impute,rely,swear,trust || 0
creep	bend,cower,crawl,cringe,diffuse,fan out,fawn,flex,go,grovel,grow over,locomote,mouse,move,pussyfoot,sneak,spread,spread out,travel,walk || -0.550671035883
crest	cap || 0
cricify	subdue || 0
criminalise	ban || 0
criminalize	ban || 0
criminate	charge,file || 0
cringe	crawl,creep,shrink || -0.698805788088
criticise*	act,assault,blame*,comment,criticize,knock,notice,pick,pick apart,point out,remark,round || 0.0
criticize	act,assault,blame*,comment,criticise*,knock,notice,pick,pick apart,point out,remark,round || 0.232935262696
critique	review || 0
croak	die,fall,go,pass,starve,stifle,succumb,suffocate,yield || -0.232935262696
crock up	break up,collapse* || 0.0
crook	curve || 0
crop	bear,browse,clip,cultivate,cut,cut back,dress,drift,eat,feed,fix,gear up,give,graze,lop,pasture,poll,prepare,prune,range,ready,set,set up,snip,thin out,top,trim,turn out,work || 0.329679953964
crop up	pop || 0.0
cross	baffle,bilk,breed,continue,course,cover,crossbreed,cut apass,dash,disappoint,drive,encounter,extend,foil,fold,fold up,forbid,foreclose,forestall,frustrate,get a cut through,get over,go aintersect,go through,hybridise,hybridize,interbreed,intersect,meet,pass over,preclude,prevent,queer,ruin*,run a come a see,run into,scotch,short-circuit,span,spoil,sweep,take,thwart,track,traverse,turn up,write || -0.972676277553
cross off	mark || 0.0
cross out	mark || 0.0
cross-file	register || 0
crossbreed	cross || -0.698805788088
crouch	huddle || -0.134169991054
crowd	pack,pile,pour,push || -0.232935262696
crowd together	pack,pile,pour || 0.0
crown	climax,coronate,cover,culminate,enthrone,head,invest,top,vest || 0
crucify	beleaguer,frustrate || -0.329679953964
crumble	break,break down,bust,change,change integrity,collapse*,crumple,decay,delapidate,deteriorate*,disintegrate,droop*,erode,fall apart,gnaw,ruin*,tumble,wear,weather,wilt* || -0.550671035883
crumple	collapse*,crumble,tumble || -0.698805788088
crunch	bray,break up,chew,comminute,crackle,cranch,craunch,fragment,fragmentise,fragmentize,grind,jaw,make noise,manducate,mash,masticate,munch,noise,press,resound,scranch,scraunch || -0.329679953964
crusade	campaign,fight,press,push || 0.0
crush	beat,best,bruise,eliminate,exceed,lick,mop up,outperform,outstrip,pip,reduce,rout,scoop,smash,squeeze,subdue,surpass^,tread || -0.881370198399
cry	alter,announce,blazon out,call,change,cry out,denote,emit,exclaim,express,express emotion,express feelings,give tongue to,holler,hollo,let loose,let out,modify,need,out call out,require,scream,shout,shout out,squall,utter,verbalise,verbalize,want,weep,yell || -0.670849955268
cry out	cry || 0.0
crystalise	clear || 0.959237796022
crystalize	clear || 0.959237796022
crystallise	clear || 0.959237796022
crystallize	clear || 0.959237796022
cue	prompt,remind || 0.232935262696
cull	pick || -0.550671035883
culminate	accomplish,achieve,arrive at,attain,cease,climax,crown,end,finish,form,gain,hit,make,reach,stop,terminate,top || 0.329679953964
cultivate	crop,grow,produce,raise,tame,train,work || 0.0
cumber	curb,restrain || 0
cumulate	accumulate,amass,backlog,drift,gather || 0.550671035883
curb	blink,bound,catch,check,circumscribe,confine,conquer,constrain,contain,control,counteract,cumber,curtail,cut back,damp,dampen,encumber,hold,hold back,hold in,inhibit,keep,keep back,limit,moderate,restrain,restrict,stamp down,stifle,still,subdue,suppress,train || -0.172932943353
curl	curve,wave || 0.232935262696
curtail	curb,restrict || 0.329679953964
curve	arc,arch,be,bend,change surface,crook,curl,cut,flex,kink,sheer,slew,slue,snake,spiral,swerve,trend,turn,twist,veer,wind || 0.329679953964
cushion	buffer,modify,soften || 0
